Date,Pro-Reg Tweets Daily,Anti-Reg Tweets Daily
2012-01-01,2,16
2012-01-02,14,25
2012-01-03,36,40
2012-01-04,28,28
2012-01-05,47,41
2012-01-06,39,30
2012-01-07,16,32
2012-01-08,72,21
2012-01-09,67,33
2012-01-10,39,32
2012-01-11,35,24
2012-01-12,40,29
2012-01-13,51,25
2012-01-14,23,16
2012-01-15,37,24
2012-01-16,30,22
2012-01-17,51,24
2012-01-18,45,25
2012-01-19,28,24
2012-01-20,24,30
2012-01-21,2,31
2012-01-22,12,28
2012-01-23,41,30
2012-01-24,24,25
2012-01-25,39,21
2012-01-26,27,32
2012-01-27,19,35
2012-01-28,11,42
2012-01-29,10,22
2012-01-30,23,31
2012-01-31,24,38
2012-02-01,35,30
2012-02-02,26,36
2012-02-03,73,33
2012-02-04,34,30
2012-02-05,23,27
2012-02-06,47,42
2012-02-07,30,51
2012-02-08,35,43
2012-02-09,49,44
2012-02-10,59,50
2012-02-11,33,30
2012-02-12,19,24
2012-02-13,27,35
2012-02-14,49,47
2012-02-15,41,33
2012-02-16,32,46
2012-02-17,72,49
2012-02-18,11,34
2012-02-19,21,21
2012-02-20,13,24
2012-02-21,41,37
2012-02-22,73,43
2012-02-23,68,46
2012-02-24,41,34
2012-02-25,21,39
2012-02-26,67,35
2012-02-27,85,43
2012-02-28,111,48
2012-02-29,66,45
2012-03-01,69,57
2012-03-02,65,40
2012-03-03,16,28
2012-03-04,7,26
2012-03-05,24,50
2012-03-06,28,36
2012-03-07,30,44
2012-03-08,34,43
2012-03-09,45,28
2012-03-10,8,47
2012-03-11,6,30
2012-03-12,42,34
2012-03-13,42,54
2012-03-14,124,53
2012-03-15,224,35
2012-03-16,304,33
2012-03-17,92,29
2012-03-18,196,19
2012-03-19,132,48
2012-03-20,253,40
2012-03-21,333,38
2012-03-22,214,52
2012-03-23,225,46
2012-03-24,46,23
2012-03-25,136,33
2012-03-26,60,27
2012-03-27,101,37
2012-03-28,401,44
2012-03-29,295,43
2012-03-30,201,27
2012-03-31,168,18
2012-04-01,40,20
2012-04-02,115,27
2012-04-03,244,26
2012-04-04,227,32
2012-04-05,202,66
2012-04-06,176,51
2012-04-07,131,23
2012-04-08,76,33
2012-04-09,164,31
2012-04-10,152,35
2012-04-11,150,27
2012-04-12,180,32
2012-04-13,349,59
2012-04-14,83,41
2012-04-15,79,28
2012-04-16,79,28
2012-04-17,111,43
2012-04-18,77,51
2012-04-19,78,44
2012-04-20,55,43
2012-04-21,31,19
2012-04-22,20,16
2012-04-23,188,47
2012-04-24,63,46
2012-04-25,138,45
2012-04-26,146,41
2012-04-27,122,51
2012-04-28,16,18
2012-04-29,19,20
2012-04-30,61,35
2012-05-01,62,39
2012-05-02,47,31
2012-05-03,131,32
2012-05-04,126,36
2012-05-05,38,19
2012-05-06,59,14
2012-05-07,97,30
2012-05-08,93,43
2012-05-09,120,40
2012-05-10,129,30
2012-05-11,126,42
2012-05-12,18,19
2012-05-13,40,25
2012-05-14,111,30
2012-05-15,69,40
2012-05-16,125,45
2012-05-17,45,43
2012-05-18,110,38
2012-05-19,102,38
2012-05-20,89,24
2012-05-21,42,23
2012-05-22,109,48
2012-05-23,149,39
2012-05-24,95,27
2012-05-25,29,26
2012-05-26,14,33
2012-05-27,0,26
2012-05-28,9,8
2012-05-29,30,22
2012-05-30,166,28
2012-05-31,68,31
2012-06-01,123,37
2012-06-02,30,23
2012-06-03,20,26
2012-06-04,24,26
2012-06-05,26,49
2012-06-06,40,33
2012-06-07,28,39
2012-06-08,85,24
2012-06-09,22,21
2012-06-10,26,27
2012-06-11,34,33
2012-06-12,73,31
2012-06-13,48,33
2012-06-14,38,35
2012-06-15,52,37
2012-06-16,13,16
2012-06-17,6,24
2012-06-18,21,23
2012-06-19,36,39
2012-06-20,62,38
2012-06-21,68,40
2012-06-22,34,61
2012-06-23,4,45
2012-06-24,8,18
2012-06-25,18,44
2012-06-26,41,63
2012-06-27,100,54
2012-06-28,134,41
2012-06-29,92,59
2012-06-30,5,41
2012-07-01,6,43
2012-07-02,17,37
2012-07-03,18,29
2012-07-04,17,32
2012-07-05,2,39
2012-07-06,15,44
2012-07-07,0,39
2012-07-08,19,28
2012-07-09,18,33
2012-07-10,35,39
2012-07-11,29,41
2012-07-12,30,31
2012-07-13,51,36
2012-07-14,10,32
2012-07-15,17,25
2012-07-16,105,26
2012-07-17,118,44
2012-07-18,58,35
2012-07-19,127,35
2012-07-20,209,26
2012-07-21,465,29
2012-07-22,81,34
2012-07-23,167,29
2012-07-24,144,50
2012-07-25,221,28
2012-07-26,179,37
2012-07-27,97,39
2012-07-28,14,27
2012-07-29,22,24
2012-07-30,66,44
2012-07-31,120,45
2012-08-01,80,25
2012-08-02,120,21
2012-08-03,62,31
2012-08-04,39,42
2012-08-05,190,34
2012-08-06,247,97
2012-08-07,106,82
2012-08-08,168,95
2012-08-09,162,83
2012-08-10,154,61
2012-08-11,55,28
2012-08-12,20,45
2012-08-13,173,52
2012-08-14,140,55
2012-08-15,243,58
2012-08-16,186,36
2012-08-17,109,27
2012-08-18,34,23
2012-08-19,10,23
2012-08-20,112,35
2012-08-21,175,31
2012-08-22,103,36
2012-08-23,107,24
2012-08-24,210,44
2012-08-25,26,24
2012-08-26,69,29
2012-08-27,107,34
2012-08-28,93,59
2012-08-29,54,37
2012-08-30,94,34
2012-08-31,84,32
2012-09-01,7,22
2012-09-02,8,29
2012-09-03,16,25
2012-09-04,90,24
2012-09-05,122,36
2012-09-06,29,36
2012-09-07,67,30
2012-09-08,69,25
2012-09-09,6,25
2012-09-10,101,28
2012-09-11,83,33
2012-09-12,58,35
2012-09-13,136,31
2012-09-14,81,30
2012-09-15,2,27
2012-09-16,13,17
2012-09-17,71,20
2012-09-18,96,33
2012-09-19,53,30
2012-09-20,22,44
2012-09-21,33,29
2012-09-22,3,19
2012-09-23,1,25
2012-09-24,19,26
2012-09-25,18,37
2012-09-26,129,44
2012-09-27,10,39
2012-09-28,60,35
2012-09-29,5,25
2012-09-30,10,22
2012-10-01,47,38
2012-10-02,67,46
2012-10-03,84,21
2012-10-04,88,34
2012-10-05,52,22
2012-10-06,5,28
2012-10-07,1,19
2012-10-08,3,33
