"","x"
"1",5.78241151698235
"2",-56.5561431758847
"3",-31.8132125205345
"4",-73.483028797273
"5",116.62962170006
"6",47.3606770278786
"7",15.8998804500704
"8",64.2855742651183
"9",-19.4436400829803
"10",17.946889584406
"11",19.9087900803887
"12",55.018896335617
"13",114.914555380367
"14",123.59506758053
"15",41.1673585628038
"16",14.7708064195625
"17",70.1446833037574
"18",224.265576665441
"19",101.24769032626
"20",-25.0561689357639
"21",-52.2952981684998
"22",16.2202639143942
"23",62.0409038290764
"24",77.3781605747076
"25",65.8377892878904
"26",16.2092632211386
"27",-88.5609010457546
"28",21.6973048659952
"29",38.0733635773658
"30",207.443316880532
"31",28.1990207203776
"32",-57.1714930747373
"33",-5.07291765564902
"34",57.1664319991615
"35",19.0659882887286
"36",28.4594086368748
"37",-19.4882395517168
"38",14.4486534780833
"39",1.51349096993178
"40",5.53513543427744
"41",-13.2427594595163
"42",30.4139298859052
"43",11.8386829731199
"44",-2.10906078404906
"45",36.3594058974628
"46",60.047356462477
"47",50.5464458421828
"48",152.049199705865
"49",51.2784380411696
"50",-22.7926154335226
"51",33.077965069351
"52",69.6562854944825
"53",86.2070165725615
"54",14.2485190361459
"55",43.3000694533884
"56",61.2367867021709
"57",-46.7251383281244
"58",-31.3422870791755
"59",-20.2647685152021
"60",-52.3604841151221
"61",-3.03571860532011
"62",-19.2318735211325
"63",-27.4768577917843
"64",130.301203570891
"65",-30.3363230872373
"66",-2.34103301078375
"67",40.655795424844
"68",11.7707931997844
"69",43.0291676163286
"70",9.48474410959363
"71",-11.7470696154809
"72",-16.0539001386948
"73",-16.1317448896914
"74",-4.4062584995944
"75",-3.83226609741692
"76",-55.2726039120746
"77",26.6235812362524
"78",166.350497221673
"79",182.683548361131
"80",122.833145063572
"81",18.0726198365985
"82",-20.5332751118697
"83",-51.3820787833437
"84",-32.1357788413287
"85",-134.801899780666
"86",-41.8962192530274
"87",127.333778818166
"88",40.0605839614831
"89",21.6547762291581
"90",19.077001903046
"91",48.2263616190135
"92",67.3666963655696
"93",-34.1822511761419
"94",103.327669138074
"95",36.0037825530024
"96",-15.9177453120024
"97",3.29526467223914
"98",-70.7474923563387
"99",-87.8429935866773
"100",-71.4877698531548
"101",188.63098323655
"102",49.4410462693622
"103",-36.6030827097119
"104",-49.3409175077604
"105",-37.1836169979729
"106",-10.4154412505809
"107",-80.0783171744737
"108",-1265.91874971554
"109",-603.160937070893
"110",-171.728960407675
"111",-115.593448840302
"112",-163.445128599719
"113",-188.401998884852
"114",-42.0111904893874
"115",169.404683705709
"116",13.9989391871108
"117",-61.7432433045249
"118",-68.2220681540297
"119",-42.1080177147686
"120",-81.1452948419722
"121",-82.5804272347929
"122",137.413542365112
"123",56.5720132348539
"124",-74.7084711684888
"125",-60.5234698345006
"126",-7.03388311621499
"127",-32.6021225082412
"128",-53.1136823048433
"129",46.4658644161861
"130",26.4727145936732
"131",47.4214497726956
"132",-34.3032126471326
"133",-12.8922203446868
"134",-1.75442919236752
"135",2.33110398135429
"136",56.854171660847
"137",52.6955111187778
"138",113.356303872667
"139",146.132099425729
"140",48.3611124232867
"141",60.4807257306379
"142",8.47088613874703
"143",31.4879758392542
"144",1.63021268680029
"145",-55.7849631358464
"146",-32.0836041225678
"147",-30.8511392510378
"148",3.34895101792394
"149",8.63958653551947
"150",-42.6563613855943
"151",-18.898658745009
"152",-18.5039751077487
"153",-20.1228948999397
"154",-19.3594793820257
"155",-9.4204030211457
"156",1.04035548111706
"157",21.1242031685799
"158",0.560723900130029
"159",16.7444826588355
"160",-9.458152566515
"161",-95.1766315120214
"162",-53.5026343842631
"163",-10.7426491711238
"164",5.97255804199733
"165",-2.16409358948268
"166",-39.014955996761
"167",-39.010323371076
"168",129.64724184698
"169",24.9455403092915
"170",-25.3454303680676
"171",-47.564020903843
"172",-24.929256149257
"173",-27.8603344656626
"174",-40.0745342402133
"175",-35.7456172928503
"176",-73.8954166729113
"177",-65.3988372579923
"178",28.0936226828445
"179",-8.98450092342394
"180",-20.9309123439535
"181",-12.0088124695922
"182",-20.1629231927522
"183",-23.3464078968294
"184",-47.7356003563961
"185",-49.8358031724085
"186",-37.5362231307967
"187",-26.8689371840953
"188",-18.4766815404007
"189",-20.7469677386795
"190",-21.7185793009654
"191",-46.0084697582622
"192",-29.6372288328373
"193",-42.8957813146936
"194",-18.2894189024653
"195",-13.5246233770477
"196",-68.4586667471117
"197",-19.263118722679
"198",124.131153946781
"199",4.56261937637454
"200",-39.6131884774587
"201",-12.3021404518352
"202",17.4105999834168
"203",18.7614481433972
"204",-18.2656446766358
"205",-10.2342702573116
"206",-8.47645988567199
"207",89.6362196353925
"208",-27.9752095782164
"209",-21.9560457982707
"210",-41.6611615239233
"211",19.0707156368737
"212",-58.5473175232318
"213",-26.4063307851096
"214",-39.3896369158668
"215",-7.04704133330125
"216",-11.1194853020461
"217",6.40817531011582
"218",10.5989802185506
"219",-5.47172777794609
"220",33.3126699037365
"221",-31.7971927821415
"222",-3.3727831332176
"223",-9.32111527459115
"224",-13.4739337551037
"225",-20.3184595498461
"226",35.2527025576362
"227",-22.0448150081858
"228",56.2158368451076
"229",22.0369766620559
